"Eff_Date","Course_ID","Offer_Nbr","Primary_Component","Enrol_Component","Final_Exam","Sect_Size","Contact","SPlus_Templates_Reqd","Component"
"01/01/2017","004078","1","LEC","","N","35","4.000","1.00","PRA"
"01/01/2017","004078","1","LEC","","N","35","8.000","1.00","FLD"
"01/01/2017","004078","1","LEC","","Y","35","1.000","2.00","LEC"
"01/01/2017","004094","1","LEC","","Y","20","1.000","3.00","LEC"
"01/01/2017","004108","1","SEM","SEM","Y","20","2.000","5.00","SEM"
"01/01/2017","004145","1","LEC","","N","40","3.000","1.00","COM"
"01/01/2017","004145","1","LEC","","N","120","1.000","1.00","WRK"
"01/01/2017","004145","1","LEC","","N","250","3.000","1.00","PRA"
"01/01/2017","004145","1","LEC","","N","250","4.000","1.00","FLD"
"01/01/2017","004145","1","LEC","","Y","250","1.000","3.00","LEC"
"01/01/2017","004234","1","LEC","LEC","N","40","1.000","2.00","TUT"
"01/01/2017","004234","1","LEC","LEC","N","40","2.000","2.00","LEC"
"01/01/2017","004234","1","LEC","LEC","N","40","4.000","2.00","PRA"
"01/01/2017","004234","1","LEC","LEC","N","40","8.000","1.00","FLD"
"01/01/2017","004236","1","LEC","","N","15","1.000","2.00","TUT"
"01/01/2017","004236","1","LEC","","N","30","2.000","2.00","COM"
"01/01/2017","004236","1","LEC","","N","60","5.000","3.00","PRA"
"01/01/2017","004236","1","LEC","","Y","60","1.000","3.00","LEC"
"01/01/2017","004242","1","TUT","","N","15","1.000","1.00","WRK"
"01/01/2017","004242","1","TUT","","N","30","1.000","1.00","LAB"
"01/01/2017","004242","1","TUT","","Y","15","1.000","1.00","TUT"
"01/01/2017","004242","1","TUT","","Y","30","1.000","2.00","LEC"
"01/01/2017","004267","1","LEC","LEC","N","50","1.000","1.00","TUT"
"01/01/2017","004267","1","LEC","LEC","Y","250","2.000","1.00","LEC"
"01/01/2017","004286","1","LEC","","N","30","2.000","1.00","PRA"
"01/01/2017","004286","1","LEC","","Y","30","1.000","1.00","LEC"
"01/01/2017","004309","1","LEC","TUT","N","25","1.000","1.00","TUT"
"01/01/2017","004309","1","LEC","TUT","Y","490","1.000","2.00","LEC"
"01/01/2017","004309","3","LEC","","N","25","1.000","1.00","TUT"
"01/01/2017","004309","3","LEC","","Y","490","1.000","2.00","LEC"
"01/01/2017","004309","4","LEC","","N","25","1.000","1.00","TUT"
"01/01/2017","004309","4","LEC","","Y","490","1.000","2.00","LEC"
"01/01/2017","004344","1","LEC","","Y","25","1.000","1.00","LEC"
"01/01/2017","004413","1","LEC","","N","25","1.000","1.00","WRK"
"01/01/2017","004413","1","LEC","","Y","50","1.000","4.00","LEC"
"01/01/2017","004435","1","LEC","","L","150","1.000","2.00","LEC"
"01/01/2017","004435","1","LEC","","N","25","1.000","1.00","TUT"
"01/01/2017","004439","1","LEC","","N","25","2.000","1.00","SEM"
"01/01/2017","004439","1","LEC","","N","80","1.000","1.00","LEC"
"01/01/2017","004447","2","LEC","","Y","40","1.000","3.00","LEC"
"01/01/2017","004449","1","PJT","","N","20","0.000","1.00","PJT"
"01/01/2017","004468","1","LEC","","N","25","1.000","1.00","TUT"
"01/01/2017","004468","1","LEC","","Y","130","2.000","1.00","LEC"
"01/01/2017","004468","2","LEC","","N","25","1.000","1.00","TUT"
"01/01/2017","004468","2","LEC","","Y","130","2.000","1.00","LEC"
"01/01/2017","004476","1","LEC","","Y","10","0.000","1.00","LEC"
"01/01/2017","004514","1","CLN","","N","10","0.000","1.00","CLN"
"01/01/2017","004578","1","LEC","","Y","10","0.000","1.00","LEC"
"01/01/2017","004587","1","LEC","TUT","N","22","1.000","1.00","TUT"
"01/01/2017","004587","1","LEC","TUT","Y","22","2.000","1.00","LEC"
"01/01/2017","004631","1","LEC","","N","20","2.000","1.00","LEC"
