"Acad_Group","Acad_Prog","Prog_Eff_Date","Acad_Plan","Eff_Date","Status","Descr","Short_Desc","Plan_Owner","Pct_Owned"
"ARTS","GCAPL","10/11/2016","GCAPPLINGU","10/11/2016","A","GCert.Applied Linguistics","GC.AppLing","Arts FAO","100.000"
"ARTS","GCARH","01/01/2015","GCARTHIS","01/01/2015","A","GCert.Art History","GC.ArtHis","Arts FAO","100.000"
"ARTS","GCAUS","01/04/2000","GCAUSTST","01/01/1901","I","GCert.Australian Studies","GC.AustSt","H&SS FO","100.000"
"ARTS","GCCCA","01/01/2015","GCCLICHAD","20/11/2012","A","GCert.Climate Chg. Adapt.","GC.CCA","GeoEnv&Pop","100.000"
"ARTS","GCCRW","01/01/2015","GCCRWRG","01/01/2015","A","GCert.Creative Writing","GC.CrWrtg","Arts FAO","100.000"
"ARTS","GCCSC","14/01/2005","GCCOGSCI","14/01/2005","I","GCert.Cognitive Science","GC.CogSc","H&SS FO","100.000"
"ARTS","GCENS","01/01/2010","GCENVST","01/01/2010","I","GCert.Environmental Studies","GC.EnvSt","H&SS FAO","100.000"
"ARTS","GCEPM","01/01/2015","GCENVP&M","01/01/2015","A","GCert.Env Policy & Management","GC.EP&M","Arts FAO","100.000"
"ARTS","GCEPP","14/01/2005","GCENVPPM","14/01/2005","I","GCert.Env Policy, Plan & Mgt","Gc.EPP&M","H&SS FO","100.000"
"ARTS","GCFDW","01/01/2015","GCFOODWRG","01/01/2012","A","GCert.Food Writing","GC.FoodWrg","History","100.000"
"ARTS","GCFS","01/01/2015","GCFOODST","01/01/2015","A","GCert.Food Studies","GC.Food St","Arts FAO","100.000"
"ARTS","GCGAS","01/01/2015","GCGASTRON","01/01/2015","A","Le Cordon Bleu Grad.Cert.Gast.","LCBGrC.Gas","Arts FAO","100.000"
"ARTS","GCHST","14/01/2005","GCHISTST","14/01/2005","I","GCert.Historical Studies","GC.HistSt","H&SS FO","100.000"
"ARTS","GCIST","01/01/2015","GCINTST","01/01/2015","A","GCert.International Studies","GC.IntSt","Arts FAO","100.000"
"ARTS","GCLED","01/04/2000","GCLANGED","01/01/1901","I","GCert.Language Education","GC.LangEd","H&SS FO","100.000"
"ARTS","GCLOG","01/04/2000","GCLOGIC","01/01/1901","I","GCert.Logic","GC.Logic","H&SS FO","100.000"
"ARTS","GCLST","14/01/2005","GCLABST","14/01/2005","I","GCert.Labour Studies","GC.LabSt","H&SS FO","100.000"
"ARTS","GCPAF","14/01/2005","GCPUBAFF","14/01/2005","I","GCert.Public Affairs","GC.PubAff","H&SS FO","100.000"
"ARTS","GCPHI","01/04/2000","GCPHILOSY","01/01/1901","I","GCert.Philosophy","GC.Philos","H&SS FO","100.000"
"ARTS","GCPST","01/01/2010","GCPOPST","01/01/2010","I","GCert.Population Studies","GC.PopSt","H&SS FAO","100.000"
"ARTS","GCSIN","01/01/2015","GCSPATIS","01/01/2015","A","GCert.Spatial Info Science","GC.SIS","Arts FAO","100.000"
"ARTS","GCSSC","01/04/2000","GCSOCSCI","01/01/1901","I","GCert.Social Sciences","GC.SocSc","H&SS FO","100.000"
"ARTS","GCWST","14/01/2005","GCWOMENST","14/01/2005","I","GCert.Women's Studies","GC.WomSt","H&SS FO","100.000"
"ARTS","GDADE","14/01/2005","GDAPDEMOG","14/01/2005","I","GDip.Applied Demography","GD.AppDem","H&SS FO","100.000"
"ARTS","GDAHS","14/01/2005","GDAPHISTST","14/01/2005","I","GDip.Applied Hist Studies","GD.AppHSt","H&SS FO","100.000"
"ARTS","GDALI","10/11/2016","GDAPPLINGU","10/11/2016","A","GDip.Applied Linguistics","GD.AppLing","Arts FAO","100.000"
"ARTS","GDANT","01/01/2010","GDANTHROP","01/01/2010","I","GDip.Anthropology","GD.Anthrop","H&SS FAO","100.000"
"ARTS","GDAPA","14/01/2005","GDAPPANTHR","14/01/2005","I","GDip.Applied Anthropology","GD.AppAnth","H&SS FO","100.000"
"ARTS","GDARH","01/01/2015","GDARTHIST","01/01/2015","A","GDip.Art History","GD.ArtHist","Arts FAO","100.000"
"ARTS","GDAST","01/04/2000","GDASIANST","01/01/1901","I","GDip.Asian Studies","GD.AsiaSt","H&SS FO","100.000"
"ARTS","GDCGS","14/01/2005","GDCOGSCI","14/01/2005","I","GDip.Cognitive Science","GD.CogSci","H&SS FO","100.000"
"ARTS","GDCHS","01/04/2000","GDCHINAST","01/01/1901","I","GDip.Chinese Studies","GD.ChinSt","H&SS FO","100.000"
