"Eff_Date","Course_ID","Offer_Nbr","Offering_Acad_Org","Owner_Acad_Org","Pct_Owned"
"01/01/2017","006878","1","SCHPHYSCI","",""
"01/01/2017","006878","3","SCHPHYSCI","",""
"01/01/2017","006878","4","SCHPHYSCI","",""
"01/01/2017","006900","1","MEDSCI","",""
"01/01/2017","006919","1","BUSSCH","",""
"01/01/2017","006919","2","BUSSCH","",""
"01/01/2017","006936","2","BUSSCH","",""
"01/01/2017","006936","3","BUSSCH","",""
"01/01/2017","006962","1","BUSSCH","",""
"01/01/2017","006962","2","BUSSCH","",""
"01/01/2017","007020","1","SCHAG&WINE","",""
"01/01/2017","007023","1","SCHVETSCI","",""
"01/01/2017","007024","1","COMPSCI","",""
"01/01/2017","007025","1","SCHBIOSCI","",""
"01/01/2017","007041","1","ARTHIST","",""
"01/01/2017","007041","2","ARTHIST","",""
"01/01/2017","007046","1","SCHAG&WINE","",""
"01/01/2017","007056","1","ARTHIST","",""
"01/01/2017","007062","1","ARTHIST","",""
"01/01/2017","007062","2","ARTHIST","",""
"01/01/2017","007072","1","SCHBIOSCI","",""
"01/01/2017","007090","1","BUSSCH","",""
"01/01/2017","007090","2","BUSSCH","",""
"01/01/2017","007097","1","ARTHIST","",""
"01/01/2017","007113","1","MATHSCI","",""
"01/01/2017","007117","1","MEDSCI","",""
"01/01/2017","007130","1","ARTHIST","",""
"01/01/2017","007144","1","ARTHIST","",""
"01/01/2017","007159","1","ARTHIST","",""
"01/01/2017","007159","2","ARTHIST","",""
"01/01/2017","007183","1","PUBLICHLTH","",""
"01/01/2017","007183","2","PUBLICHLTH","",""
"01/01/2017","007209","1","ARTHIST","",""
"01/01/2017","007212","1","CASM","",""
"01/01/2017","007256","1","ARTHIST","",""
"01/01/2017","007256","2","ARTHIST","",""
"01/01/2017","007258","1","PUBLICHLTH","",""
"01/01/2017","007261","1","ARTHIST","",""
"01/01/2017","007263","1","ECONOMICSS","",""
"01/01/2017","007263","2","ECONOMICSS","",""
"01/01/2017","007284","1","DENTAL","",""
"01/01/2017","007293","1","CLINNURSE","",""
"01/01/2017","007312","1","SCHPHYSCI","",""
"01/01/2017","007312","2","SCHPHYSCI","",""
"01/01/2017","007338","1","SCHBIOSCI","SCHBIOSCI","95.000"
"01/01/2017","007338","1","SCHBIOSCI","SCHAG&WINE","5.000"
"01/01/2017","007347","1","LINGUISTIC","",""
"01/01/2017","007382","1","SCHAG&WINE","",""
"01/01/2017","007462","1","ENGLISH","",""
"01/01/2017","007467","1","MATHSCI","",""
"01/01/2017","007469","1","CLINNURSE","",""
"01/01/2017","007510","1","PUBLICHLTH","",""
"01/01/2017","007513","1","COMPSCI","",""
"01/01/2017","007515","1","MATHSCI","MATHSCI","50.000"
"01/01/2017","007515","1","MATHSCI","COMPSCI","50.000"
"01/01/2017","007547","1","SCHAG&WINE","",""
"01/01/2017","007547","2","SCINCESFO","",""
"01/01/2017","007669","1","ECONOMICSS","",""
"01/01/2017","007743","1","PHILOSOPHY","",""
"01/01/2017","007769","1","ASIANSTD","",""
"01/01/2017","007772","1","LAWS","",""
"01/01/2017","007794","1","ARTHIST","",""
"01/01/2017","007806","1","ARTHIST","",""
"01/01/2017","007807","1","ARTHIST","",""
"01/01/2017","007807","2","ARTHIST","",""
"01/01/2017","007813","1","ARTHIST","",""
"01/01/2017","007813","2","ARTHIST","",""
"01/01/2017","007828","1","SCHPHYSCI","",""
"01/01/2017","007832","1","WILTOYERLO","",""
"01/01/2017","007850","1","DENTAL","",""
"01/01/2017","007918","1","CASM","",""
"01/01/2017","007933","1","COMPSCI","",""
"01/01/2017","007965","1","MATHSCI","",""
"01/01/2017","007994","1","WILTOYERLO","",""
"01/01/2017","007997","1","MEDSCI","",""
"01/01/2017","008026","1","PUBLICHLTH","",""
"01/01/2017","008077","1","CIV&ENVENG","",""
"01/01/2017","008078","1","MEDICINE","MEDICINE","92.500"
"01/01/2017","008078","1","MEDICINE","SCHBIOSCI","7.500"
"01/01/2017","008097","1","MEDICINE","",""
"01/01/2017","008122","1","CASM","",""
"01/01/2017","008131","1","ARCH&URBD","",""
"01/01/2017","008146","1","MEDICINE","",""
"01/01/2017","008156","1","SCHPHYSCI","",""
"01/01/2017","008158","1","WILTOYERLO","",""
"01/01/2017","008217","1","LINGUISTIC","",""
"01/01/2017","008242","2","BUSSCH","",""
"01/01/2017","008242","3","BUSSCH","",""
"01/01/2017","008258","2","BUSSCH","",""
"01/01/2017","008258","3","BUSSCH","",""
"01/01/2017","008271","1","SCHAG&WINE","",""
"01/01/2017","008279","2","BUSSCH","",""
"01/01/2017","008279","3","BUSSCH","",""
"01/01/2017","008283","2","BUSSCH","",""
"01/01/2017","008283","3","BUSSCH","",""
"01/01/2017","008290","1","ECONOMICSS","",""
"01/01/2017","008327","2","BUSSCH","",""
"01/01/2017","008327","3","BUSSCH","",""
"01/01/2017","008330","1","DENTAL","",""
"01/01/2017","008355","1","SCHAG&WINE","",""
"01/01/2017","008358","1","SCHAG&WINE","",""
"01/01/2017","008362","1","BUSSCH","",""
"01/01/2017","008362","2","BUSSCH","",""
"01/01/2017","008379","1","BUSSCH","",""
"01/01/2017","008379","2","BUSSCH","",""
"01/01/2017","008394","1","SCHAG&WINE","",""
"01/01/2017","008394","2","SCINCESFO","",""
"01/01/2017","008409","1","GFS","",""
"01/01/2017","008431","1","GERMANSTUD","",""
"01/01/2017","008510","1","MATHSCI","",""
"01/01/2017","008565","1","ECONOMICSS","",""
"01/01/2017","008570","1","MEDICINE","SCHBIOSCI","15.500"
"01/01/2017","008570","1","MEDICINE","MEDICINE","84.500"
"01/01/2017","008655","2","BUSSCH","",""
"01/01/2017","008655","3","BUSSCH","",""
"01/01/2017","008796","1","MATHSCI","",""
"01/01/2017","008802","1","BUSSCH","",""
"01/01/2017","008802","2","BUSSCH","",""
"01/01/2017","008820","1","P&CONTED","",""
"01/01/2017","008869","1","DENTAL","",""
"01/01/2017","008880","1","MEDSCI","",""
"01/01/2017","008892","1","MATHSCI","",""
"01/01/2017","008917","1","ECONOMICSS","",""
"01/01/2017","008954","1","SCHBIOSCI","SCHBIOSCI","95.000"
"01/01/2017","008954","1","SCHBIOSCI","SCHAG&WINE","5.000"
"01/01/2017","008954","3","SCHBIOSCI","",""
"01/01/2017","008959","1","ECONOMICSS","",""
"01/01/2017","009014","1","PHILOSOPHY","",""
"01/01/2017","009033","1","CASM","",""
"01/01/2017","009036","1","SCHPHYSCI","",""
"01/01/2017","009037","1","COMPSCI","",""
"01/01/2017","009040","1","CASM","",""
"01/01/2017","009097","1","DENTAL","",""
"01/01/2017","009101","1","ECONOMICSS","",""
"01/01/2017","009101","3","ECONOMICSS","",""
"01/01/2017","009101","4","ECONOMICSS","",""
"01/01/2017","009102","1","MATHSCI","SCHBIOSCI","50.000"
"01/01/2017","009102","1","MATHSCI","MATHSCI","50.000"
"01/01/2017","009105","1","GFS","",""
"01/01/2017","009281","1","GFS","",""
"01/01/2017","009345","1","SCHBIOSCI","",""
"01/01/2017","009440","1","CLINNURSE","",""
"01/01/2017","009447","1","MATHSCI","",""
"01/01/2017","009494","1","DENTAL","",""
"01/01/2017","009516","1","COMPSCI","",""
"01/01/2017","009516","2","COMPSCI","",""
"01/01/2017","009516","3","COMPSCI","",""
"01/01/2017","009517","1","SCHPHYSCI","",""
"01/01/2017","009549","1","ECONOMICSS","",""
"01/01/2017","009588","1","CASM","",""
"01/01/2017","009615","1","SCHPHYSCI","",""
"01/01/2017","009650","2","BUSSCH","",""
"01/01/2017","009650","3","BUSSCH","",""
"01/01/2017","009668","1","WILTOYERLO","",""
"01/01/2017","009704","1","CLINNURSE","",""
"01/01/2017","009735","1","MATHSCI","",""
"01/01/2017","009750","1","COMPSCI","",""
"01/01/2017","009766","1","SCHPHYSCI","",""
"01/01/2017","009786","2","MATHSCI","",""
"01/01/2017","009786","3","ENGMATHFO","PUREMATHS","50.000"
"01/01/2017","009786","3","ENGMATHFO","APPLMATHS","50.000"
"01/01/2017","009786","4","MATHSCI","",""
"01/01/2017","009811","1","COMPSCI","",""
"01/01/2017","009811","3","COMPSCI","",""
"01/01/2017","009829","1","SCHBIOSCI","",""
"01/01/2017","009877","1","COMPSCI","",""
"01/01/2017","009877","3","COMPSCI","",""
"01/01/2017","009901","1","COMPSCI","",""
"01/01/2017","009901","2","COMPSCI","",""
"01/01/2017","009938","1","SCHPHYSCI","",""
"01/01/2017","009945","1","SCHAG&WINE","",""
"01/01/2017","009956","1","COMPSCI","",""
"01/01/2017","009956","2","COMPSCI","",""
"01/01/2017","011153","1","CASM","",""
"01/01/2017","011175","1","CASM","",""
"01/01/2017","011277","1","CASM","",""
"01/01/2017","011346","1","MATHSCI","",""
"01/01/2017","011430","1","CASM","",""
"01/01/2017","011462","1","CASM","",""
"01/01/2017","011468","1","ANTHROPLGY","",""
"01/01/2017","011552","1","CASM","",""
"01/01/2017","012101","1","DENTAL","",""
"01/01/2017","012136","1","SCHPHYSCI","",""
"01/01/2017","012136","2","SCHPHYSCI","",""
"01/01/2017","012183","1","MATHSCI","",""
"01/01/2017","012190","1","DENTISTRY","",""
"01/01/2017","012460","1","PSYCHOLOGY","PSYCHOLOGY","80.000"
"01/01/2017","012460","1","PSYCHOLOGY","MEDSCI","20.000"
"01/01/2017","012493","1","ARCH&URBD","",""
"01/01/2017","012854","1","SCHAG&WINE","",""
"01/01/2017","012871","1","DENTAL","",""
"01/01/2017","013019","1","MATHSCI","",""
"01/01/2017","013152","1","MATHSCI","",""
"01/01/2017","013223","1","CASM","",""
